epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,553.34,1.54816,0.911,0.9978,1.65244,0.00333244,0.00333244,0.00333244
2,1006.03,0.98635,0.9477,0.9982,1.59283,0.00644581,0.00644581,0.00644581
3,1325.86,1.11255,0.9298,0.996,1.64228,0.00933917,0.00933917,0.00933917
4,1682.24,1.05768,0.9498,0.9979,1.57991,0.00901,0.00901,0.00901
5,2118.48,0.70395,0.9665,0.9991,1.5414,0.00868,0.00868,0.00868
6,2573.63,0.53498,0.9761,0.9996,1.52644,0.00835,0.00835,0.00835
7,3020.71,0.4344,0.9329,0.9999,1.56273,0.00802,0.00802,0.00802
8,3470.03,0.4004,0.982,0.9998,1.51802,0.00769,0.00769,0.00769
9,3917.33,0.36142,0.9834,0.9999,1.50944,0.00736,0.00736,0.00736
10,4366.2,0.34287,0.9849,0.9998,1.50749,0.00703,0.00703,0.00703
11,4813.29,0.31661,0.9814,0.9997,1.50771,0.0067,0.0067,0.0067
12,5262.52,0.30984,0.9736,0.9948,1.51688,0.00637,0.00637,0.00637
13,5710.91,0.29738,0.941,0.9798,1.54449,0.00604,0.00604,0.00604
14,6159.12,0.28627,0.9452,0.9987,1.54039,0.00571,0.00571,0.00571
15,6606.77,0.27384,0.9537,0.9999,1.53138,0.00538,0.00538,0.00538
16,7056.44,0.26512,0.9542,0.9998,1.5305,0.00505,0.00505,0.00505
17,7504.56,0.2536,0.9461,0.9927,1.53804,0.00472,0.00472,0.00472
18,7951.98,0.24452,0.9398,0.9889,1.54527,0.00439,0.00439,0.00439
19,8399.29,0.23256,0.9369,0.9895,1.54772,0.00406,0.00406,0.00406
20,8846.4,0.22725,0.9349,0.9901,1.54968,0.00373,0.00373,0.00373
21,9294.93,0.22507,0.9335,0.9918,1.55093,0.0034,0.0034,0.0034
22,9743.02,0.21084,0.931,0.9884,1.55413,0.00307,0.00307,0.00307
23,10190.2,0.20848,0.9293,0.9825,1.55501,0.00274,0.00274,0.00274
24,10590,0.20218,0.9305,0.9873,1.55403,0.00241,0.00241,0.00241
25,10975.7,0.1942,0.9297,0.9865,1.55414,0.00208,0.00208,0.00208
